text,label
The waitresses are very friendly.,1
The directing is sloppy at best.  ,0
I does not maintain a connection with the computer while it is on my lap.,0
"That being said, for a phone, the camera is very nice; many cool effects to play with, and video is decent as well.",1
I ordered the Voodoo pasta and it was the first time I'd had really excellent pasta since going gluten free several years ago.,1
if you simply want a small flip phone -- look elsewhere as the extra bells & whistles are mediocre.,0
Echo Problem....Very unsatisfactory,0
Seller shipped quickly and much cheaper than the competitors.,1
This movie is well-balanced with comedy and drama and I thoroughly enjoyed myself.  ,1
They know how to make them here.,1
The only redeeming quality of the restaurant was that it was very inexpensive.,1
I plugged it in only to find out not a darn thing worked.,0
Service is quick and friendly.,1
The worst one of the series.  ,0
"Oh yeah, and the storyline was pathetic too.  ",0
The screen does get smudged easily because it touches your ear and face.,0
The worst was the salmon sashimi.,0
Price is good too.,1
"Bluetooth range is good - a few days ago I left my phone in the trunk, got a call, and carried the conversation without a hitch.",1
I consider this theft.,0
I have been very happy with the 510 and have had NO complaints from any one regarding my sound quality on their end.,1
This is the first phone I've had that has been so cheaply made.,0
Only had this a month but it's worked flawlessly so far.,1
However I needed some better instructions.,0
The characters were very 'stagey' and the storyline was a lot like a stage farce.  ,0
"When I placed my treo into the case, not only was it NOT snug, but there was A LOT of extra room on the sides.",0
Basically the service was very bad.,0
This is one of the best movies out there that shows such strong sibling bond for each other.  ,1
Waitress was a little slow in service.,0
Very little music or anything to speak of.  ,0
"If you like a loud buzzing to override all your conversations, then this phone is for you!",0
There is nothing privileged about working/eating there.,0
The aerial scenes were well-done.  ,1
The jerky camera movements were also annoying.  ,0
The flair bartenders are absolutely amazing!,1
NOBODY identifies with these characters because they're all cardboard cutouts and stereotypes (or predictably reverse-stereotypes).  ,0
Not much seafood and like 5 strings of pasta at the bottom.,0
The fried rice was dry as well.,0
"The movie showed a lot of Florida at it's best, made it look very appealing.  ",1
This is the number one best TH game in the series.  ,1
This movie is terrible.  ,0
This is essentially a communications tool that does not communicate.,0
I could not stand to even watch it for very long for fear of losing I.Q.  ,0
"In fact I'm going to round up to 4 stars, just because she was so awesome.",1
Due to this happening on every call I was forced to stop using this headset.,0
"Then, as if I hadn't wasted enough of my life there, they poured salt in the wound by drawing out the time it took to bring the check.",0
"The burger had absolutely no flavor - the meat itself was totally bland, the burger was overcooked and there was no charcoal flavor.",0
"As a European, the movie is a nice throwback to my time as a student in the 1980's and the experiences I had living abroad and interacting with other nationalities, although the circumstances were slightly different.  ",1
